id,curr_time,currency,instrument_name,expiry_datetime,strike,option_type,underlying_price,delta,mark_iv,bid_price,ask_price,mark_price,open_interest,volume
0,2026-03-21T15:25:05.986779+00:00,BTC,BTC-22MAR26-71000-C,2026-03-22T00:00:00+00:00,71000.0,C,70613.8839,0.31568,25.82,,,0.0023,84.9,88.0
1,2026-03-21T15:25:05.986779+00:00,BTC,BTC-22MAR26-70500-C,2026-03-22T00:00:00+00:00,70500.0,C,70613.8839,0.5623,24.49,,,0.0051,222.6,183.4
2,2026-03-21T15:25:05.986779+00:00,BTC,BTC-22MAR26-70000-P,2026-03-22T00:00:00+00:00,70000.0,P,70614.9733,-0.223,26.58,,,0.0015,561.6,252.9
3,2026-03-21T15:25:05.986779+00:00,ETH,ETH-22MAR26-2175-C,2026-03-22T00:00:00+00:00,2175.0,C,2151.954,0.23648,33.77,,,0.002,1137.0,863.0
4,2026-03-21T15:25:05.986779+00:00,ETH,ETH-22MAR26-2150-C,2026-03-22T00:00:00+00:00,2150.0,C,2151.6416,0.52455,32.14,,,0.006,2495.0,546.0
5,2026-03-21T15:25:05.986779+00:00,ETH,ETH-22MAR26-2125-P,2026-03-22T00:00:00+00:00,2125.0,P,2152.0952,-0.18587,32.87,,,0.0015,7362.0,7963.0
6,2026-03-21T15:25:10.98748+00:00,BTC,BTC-22MAR26-71000-C,2026-03-22T00:00:00+00:00,71000.0,C,70609.9653,0.3139,25.82,,,0.0023,84.9,88.0
7,2026-03-21T15:25:10.98748+00:00,BTC,BTC-22MAR26-70500-C,2026-03-22T00:00:00+00:00,70500.0,C,70609.9653,0.56023,24.5,,,0.0051,222.6,183.4
8,2026-03-21T15:25:10.98748+00:00,BTC,BTC-22MAR26-70000-P,2026-03-22T00:00:00+00:00,70000.0,P,70609.7645,-0.22493,26.58,,,0.0015,561.6,252.9
9,2026-03-21T15:25:10.98748+00:00,ETH,ETH-22MAR26-2175-C,2026-03-22T00:00:00+00:00,2175.0,C,2151.834,0.23529,33.77,,,0.002,1137.0,863.0
10,2026-03-21T15:25:10.98748+00:00,ETH,ETH-22MAR26-2150-C,2026-03-22T00:00:00+00:00,2150.0,C,2151.834,0.5271,32.13,,,0.006,2495.0,546.0
