id,curr_time,coin,open_time,close_time,last_price_dollars,liquidity_dollars,no_ask_dollars,no_bid_dollars,yes_ask_dollars,yes_bid_dollars,open_interest,floor_strike,cap_strike,strike_type,volume,volume_24h_fp
0,2026-03-21T14:08:51.508801+00:00,XRP,2026-03-21T14:00:00+00:00,2026-03-21T14:15:00+00:00,0.39,0.0,0.62,0.6,0.4,0.38,,1.4394,,greater_or_equal,,0.0
1,2026-03-21T14:08:51.508801+00:00,SOL,2026-03-21T14:00:00+00:00,2026-03-21T14:15:00+00:00,0.51,0.0,0.49,0.44,0.56,0.51,,90.0243,,greater_or_equal,,8.0
2,2026-03-21T14:08:52.52115+00:00,BTC,2026-03-21T14:00:00+00:00,2026-03-21T14:15:00+00:00,0.94,0.0,0.048,0.042,0.958,0.952,,70724.91,,greater_or_equal,,4778.0
3,2026-03-21T14:08:52.52115+00:00,ETH,2026-03-21T14:00:00+00:00,2026-03-21T14:15:00+00:00,0.91,0.0,0.087,0.04,0.96,0.913,,2155.45,,greater_or_equal,,26.0
4,2026-03-21T14:08:52.52115+00:00,XRP,2026-03-21T14:00:00+00:00,2026-03-21T14:15:00+00:00,0.39,0.0,0.62,0.6,0.4,0.38,,1.4394,,greater_or_equal,,0.0
5,2026-03-21T14:08:52.52115+00:00,SOL,2026-03-21T14:00:00+00:00,2026-03-21T14:15:00+00:00,0.51,0.0,0.49,0.44,0.56,0.51,,90.0243,,greater_or_equal,,8.0
6,2026-03-21T14:08:53.524924+00:00,BTC,2026-03-21T14:00:00+00:00,2026-03-21T14:15:00+00:00,0.94,0.0,0.048,0.042,0.958,0.952,,70724.91,,greater_or_equal,,4778.0
7,2026-03-21T14:08:53.524924+00:00,ETH,2026-03-21T14:00:00+00:00,2026-03-21T14:15:00+00:00,0.91,0.0,0.087,0.04,0.96,0.913,,2155.45,,greater_or_equal,,26.0
8,2026-03-21T14:08:53.524924+00:00,XRP,2026-03-21T14:00:00+00:00,2026-03-21T14:15:00+00:00,0.39,0.0,0.62,0.6,0.4,0.38,,1.4394,,greater_or_equal,,0.0
9,2026-03-21T14:08:53.524924+00:00,SOL,2026-03-21T14:00:00+00:00,2026-03-21T14:15:00+00:00,0.51,0.0,0.49,0.44,0.56,0.51,,90.0243,,greater_or_equal,,8.0
